Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Malawi,2568951,2817000,3089000,3451000,3915000,4509000,5318000,6258000,7321000,9360000,9809000,11130000,12864000,15183000,17965000,21197000
Malaysia,5661427,6434000,7312000,8429000,9648000,10911000,12131000,13461000,15650000,17883000,20340000,23152000,25969000,28275000,30514000,32653000
Maldives,79012,80000,81000,93000,98000,115000,133000,153000,178000,217000,261000,300000,337000,396000,394000,392000
Mali,3340212,3688000,4072000,4495000,4978000,5547000,6218000,6869000,7623000,8487000,9489000,10788000,12528000,14583000,16956000,19714000
Malta,309029,312000,315000,329000,320000,326000,328000,365000,348000,360000,377000,390000,399000,407000,414000,420000
Marshall Islands,9308,11000,13000,16000,18000,22000,27000,31000,39000,46000,50000,54000,60000,66000,73000,78000
Mauritania,960186,1006000,1054000,1118000,1196000,1290000,1405000,1545000,1724000,1925000,2235000,2501000,2838000,3206000,3597000,4006000
Mauritius,406161,482000,572000,664000,756000,830000,886000,964000,1021000,1062000,1124000,1186000,1243000,1295000,1340000,1380000
Mexico,24641731,28486000,32930000,38579000,45143000,52776000,60679000,68348000,76601000,84635000,92584000,99776000,106577000,114062000,121737000,128650000
Moldova,2082184,2337000,2623000,2999000,3334000,3595000,3847000,3997000,4149000,4375000,4356000,4181000,3949000,3732000,3547000,3365000
Monaco,19000,19000,19000,21000,23000,24000,26000,27000,29000,30000,31000,32000,32000,31000,31000,31000
Mongolia,718155,779000,845000,955000,1091000,1248000,1446000,1656000,1860000,2122000,2307000,2461000,2603000,2784000,2993000,3169000
Montenegro,363000,396000,432000,462000,492000,515000,550000,561000,561000,584000,671000,733000,700000,667000,648000,640000
Montserrat,15077,14000,13000,13000,12000,12000,13000,12000,12000,11000,11000,4000,5000,6000,6000,6000
Morocco,8097787,9344000,10782000,12424000,14067000,15910000,17688000,19488000,21644000,24000000,26148000,28114000,29901000,31628000,33323000,34956000
Mozambique,5761575,6251000,6782000,7473000,8302000,9305000,10433000,12103000,13294000,12990000,15889000,17997000,20069000,22418000,25304000,28604000
Myanmar,18041907,19488000,21050000,22840000,24938000,27393000,30330000,33337000,36766000,40464000,43994000,47439000,50573000,53415000,56321000,59126000
Namibia,412444,464000,522000,591000,671000,765000,916000,1059000,1205000,1471000,1682000,1894000,2029000,2129000,2213000,2263000
